Date de début;Date de fin;Organisme;code zas;Zas;code site;nom site;type d'implantation;Polluant;type d'influence;Réglementaire;type d'évaluation;type de valeur;valeur;valeur brute;unité de mesure;taux de saisie;couverture temporelle;couverture de données;code qualité;validité;Latitude;Longitude
2025/01/14 00:00:00;2025/01/14 19:00:00;AIR BREIZH;FR53ZAG01;ZAG RENNES;FR19018;MORDELLES BELLAIS;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;54.4;54.375;µg-m3;100.0;100;100.0;R;1;48.082883;-1.834583
2025/01/14 00:00:00;2025/01/14 19:00:00;AIR BREIZH;FR53ZRE01;ZR BRETAGNE;FR19020;Kergoff;Rurale nationale;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;63.2;63.175;µg-m3;100.0;100;100.0;A;1;48.261963;-2.943631
2025/01/14 00:00:00;2025/01/14 19:00:00;AIR BREIZH;FR53ZRE01;ZR BRETAGNE;FR19032;Lorient B. Bissonnet;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;50.1;50.05;µg-m3;100.0;100;100.0;R;1;47.7425;-3.39501
2025/01/14 00:00:00;2025/01/14 19:00:00;AIR BREIZH;FR53ZRE01;ZR BRETAGNE;FR19033;Vannes UTA;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;47.7;47.7;µg-m3;100.0;100;100.0;A;1;47.64892;-2.76399
2025/01/14 00:00:00;2025/01/14 19:00:00;AIR BREIZH;FR53ZAG01;ZAG RENNES;FR19039;Rennes Thabor;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;29.4;29.35;µg-m3;100.0;100;100.0;R;1;48.11521;-1.673088
2025/01/14 00:00:00;2025/01/14 19:00:00;AIR BREIZH;FR53ZRE01;ZR BRETAGNE;FR19053;Quimper Zola;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;44.5;44.45;µg-m3;100.0;100;100.0;A;1;47.986606;-4.097658
2025/01/14 00:00:00;2025/01/14 19:00:00;AIR BREIZH;FR53ZRE01;ZR BRETAGNE;FR19082;StMalo Rocabey;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;45.1;45.125;µg-m3;100.0;100;100.0;R;1;48.65306;-2.00268
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20037;TERNAY;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;34.3;34.275;µg-m3;100.0;100;100.0;A;1;45.6019;4.8022
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20047;COTIERE AIN;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;42.9;42.85;µg-m3;100.0;100;100.0;A;1;45.823223;4.953958
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20048;SAINT EXUPERY;Périurbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;38.3;38.3;µg-m3;100.0;100;100.0;A;1;45.7533;5.0722
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZRE02;ZR AUVERGNE-RHONE-ALPES;FR20049;HAUT BEAUJOLAIS;Rurale près des villes;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;60.1;60.1;µg-m3;100.0;100;100.0;A;1;45.96141;4.465711
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20062;LYON Centre;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;34.8;34.75;µg-m3;100.0;100;100.0;A;1;45.757732;4.854214
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO AUVERGNE-RHÔNE-ALPES;FR84ZAG01;ZAG LYON;FR20077;Villefranche Centre ;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;31.1;31.1;µg-m3;89.0;100;89.0;R;1;45.990112;4.715566
2025/01/14 00:00:00;2025/01/14 19:00:00;ATMO NORMANDIE;FR28ZAR02;ZAR CAEN;FR21001;Caen Chemin-Vert;Urbaine;O3;Fond;Oui;mesures fixes;Max. journalier moy. hor.;54.9;54.875;µg-m3;100.0;100;100.0;R;1;49.19222;-0.391111
